 seg RAM FD
 loc 0
RAMStart		RAM	FD,0
RAMEnd		RAM	FD,FFFFE
 size RAM FFFFF
 seg Main 75
 loc 400000
Trap0_53		Main	$75,$1F8		#
Trap0_6B		Main	$75,$806		#
Trap0_56		Main	$75,$806		#
Trap0_5F		Main	$75,$806		#
Trap0_5B		Main	$75,$806		#
Trap0_55		Main	$75,$806		#
Trap0_5C		Main	$75,$806		#
Trap0_5E		Main	$75,$806		#
Trap0_5D		Main	$75,$806		#
Trap1_95		Main	$75,$806		#
Trap1_3C		Main	$75,$806		#
Trap1_3D		Main	$75,$806		#
Trap1_B5		Main	$75,$806		#
Trap1_14		Main	$75,$806		#
Trap1_9F		Main	$75,$806		#
ScrnSize		Main	$75,$806
SetAppBase	Main	$75,$806
Trap1_60		Main	$75,$806		#
Trap1_3E		Main	$75,$806		#
Trap1_8F		Main	$75,$806		#
ScrnAddress	Main	$75,$806
Trap1_C		Main	$75,$806		#
Trap1_3		Main	$75,$806		#
Trap1_4		Main	$75,$806		#
Trap1_5		Main	$75,$806		#
Trap1_0		Main	$75,$806		#
Trap1_1		Main	$75,$806		#
Trap1_2		Main	$75,$806		#
Trap1_9		Main	$75,$806		#
Trap1_A		Main	$75,$806		#
Trap1_B		Main	$75,$806		#
Trap1_6		Main	$75,$806		#
Trap1_7		Main	$75,$806		#
Trap1_8		Main	$75,$806		#
Trap1_D7		Main	$75,$806		#
Trap1_1C3 	Main	$75,$806		#
Debugger		Main	$75,$806
Trap1_F7		Main	$75,$806		#
Trap1_FD		Main	$75,$806		#
InitFS		Main	$75,$C7A
InitEvents	Main	$75,$D4C
PutIcon		Main	$75,$EC4
SysError		Main	$75,$1142
SysBeep		Main	$75,$11DC
Enqueue		Main	$75,$19CA
Dequeue		Main	$75,$19F0
ScrnBitMap	Main	$75,$1E72
PinRect		Main	$75,$1F38
Dispatch		Main	$75,$1F4A
SetTrapAddress	Main	$75,$1FBA
GetTrapAddress	Main	$75,$200A
Read		Main	$75,$23BE
Write		Main	$75,$242E
Control		Main	$75,$2442
Status		Main	$75,$2450
KillIO		Main	$75,$2476
DrvrInstall	Main	$75,$24CA
DrvrRemove	Main	$75,$2528
AddDrive		Main	$75,$2558
OSEventAvail	Main	$75,$2764
GetOSEvent	Main	$75,$27EC
FlushEvents	Main	$75,$280A
Trap1_32		Main	$75,$280A 	#
InitQueue 	Main	$75,$2A6C
MountVol		Main	$75,$2DF8
Offline		Main	$75,$343A
Eject		Main	$75,$34E0
UnmountVol	Main	$75,$35B4
FlushVol		Main	$75,$35FC
GetVolInfo	Main	$75,$3824
SetVol		Main	$75,$3ADA
Create		Main	$75,$41E2
Delete		Main	$75,$440C
SetFilType	Main	$75,$4852
SetFilLock	Main	$75,$488A
RstFilLock	Main	$75,$4894
SetFileInfo	Main	$75,$48D6
GetFileInfo	Main	$75,$4AE2
GetFPos		Main	$75,$4F10
SetFPos		Main	$75,$4F14
FlushFile 	Main	$75,$5144
GetEOF		Main	$75,$5340
Allocate		Main	$75,$548E
SetEOF		Main	$75,$54C0
InitCursor	Main	$75,$82C6
